Question ID,Text,Question Image,Question Type 1,Question Type 2,Main Topic,Subtopic
2c,"Show that the velocity v of the two-cart system after the collision is given by the equation
v = \sqrt{2g \left( \frac{m_1}{m_1 + m_2} \right) \sqrt{H}}.",,Numerical,FRQ,Mechanics,"Energy + Momentum
"
2d,"Show that the velocity v of the two-cart system after the collision is given by the equation
v = \sqrt{2g \left( \frac{m_1}{m_1 + m_2} \right) \sqrt{H}}.",https://drive.google.com/file/d/1ozLwtrLwPdzyBE9RvTywe1jyChpND0F0/view?usp=share_link,Numerical,FRQ,Mechanics,"Work, Energy, and Power"
2d-1,Draw a line that represents the best fit to the data points shown.,,Numerical,FRQ,Mechanics,"Work, Energy, and Power"
2d-2,Use the best-fit line to calculate the mass of Cart 2.,,Numerical,FRQ,Mechanics,"Work, Energy, and Power"
2e,"After the experiment, the students use a balance to measure the mass of Cart 2 and find it to be less than what was determined in part (d). To explain this discrepancy, one of the students proposes that the mass of Cart 1 was incorrectly measured at the beginning of the experiment. The students measure the mass of Cart 1 again and record a new value, m_1’.

Should the students expect that m_1’ will be greater than 0.250 kg, less than 0.250 kg, or equal to 0.250 kg?

Answers:
m_1’ > 0.250 \, \text{kg}
m_1’ < 0.250 \, \text{kg}
m_1’ = 0.250 \, \text{kg}

Justify your answer.",,Conceptual,FRQ,Mechanics,"Work, Energy, and Power"
3,"A solid uniform disk is supported by a vertical stand. The disk is able to rotate with negligible friction about an axle that passes through the center of the disk. The mass and radius of the disk are given by M_d and R, respectively. The rotational inertia of the disk is
I_d = \frac{1}{2} M_d R^2.
A string of negligible mass is draped over the disk and attached to the top of the disk at point P. One end of the string is connected to an unstretched ideal spring of spring constant k, which is fixed to the ground as shown in Figure 1.

A block of mass m_B is then attached to the string on the right side of the disk. The block is slowly lowered until the spring-disk-block system reaches equilibrium, as shown in Figure 2. In this equilibrium position, the disk has rotated clockwise through a small angle \theta.

Give all algebraic answers in terms of M_d, R, k, \theta, and physical constants, as appropriate.",https://drive.google.com/file/d/1Ht9bWDEBcv8W7kfCgi_NCjO4j_RDdTXp/view?usp=share_link,,,,
3a,Derive an expression for the mass m_B of the block.,,Numerical,FRQ,Mechanics,"Rotation
"
3b,"At time t = 0, the string on the right side of the disk is cut and the block falls to the ground. On the circle below, which represents the disk, draw and label the forces (not components) that act on the disk immediately after the string is cut and the block is falling to the ground. Each force should be represented by an arrow that starts on and is directed away from the point of application.",https://drive.google.com/file/d/1d-sTPeoFA6KQU_v6ng_LiRlq9NrXdeSR/view?usp=share_link,Conceptual,FRQ,Mechanics,"Rotation
"
3c,Derive an expression for the angular acceleration \alpha of the disk immediately after the string is cut.,,Numerical,FRQ,Mechanics,"Rotation
"
3d,"At t = t_1, the disk has rotated and point P is again directly above the axle. Sketch a graph of the magnitude of the angular velocity \omega of the disk as a function of time t from t = 0 to t = t_1.
(A blank ω vs. t graph is provided.)",https://drive.google.com/file/d/1Lvonkgq8bfmT7j8jHbY8lsCq1JgDriaS/view?usp=share_link,Numerical,FRQ,Mechanics,"Rotation
"
3e,"The disk is adjusted on the support so that the axle does not pass through the center of mass of the disk. The block is again hung on the right side of the disk and the spring-disk-block system comes to equilibrium, as shown in Figure 3. The axle does not exert a torque on the disk. For each force on the disk, indicate whether the magnitude of the torque about the axle caused by that force increases, decreases, or stays the same relative to part (b).",https://drive.google.com/file/d/1XrJI5ZHxlusf-UO87U5_LU5VAD-ThhSj/view?usp=share_link,Conceptual,FRQ,Mechanics,"Rotation
"
